         72476276 function calls (68459571 primitive calls) in 36.347 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    464/1    0.005    0.000   36.350   36.350 {built-in method builtins.exec}
        1    0.000    0.000   36.350   36.350 main.py:1(<module>)
        1    0.013    0.013   36.199   36.199 application.py:19(main)
        1    0.005    0.005   36.185   36.185 application.py:6(run_gui)
        1   16.635   16.635   35.957   35.957 {built-in method exec}
        1    0.000    0.000   19.270   19.270 compute_recipe_worker.py:62(run)
        1    0.000    0.000   19.269   19.269 factory_processor.py:21(process_factory)
        1    0.000    0.000   19.226   19.226 evolution.py:17(evolve)
        1    0.001    0.001   19.226   19.226 hill_climbing.py:12(evolve)
       50    0.015    0.000   19.185    0.384 hill_climbing.py:67(_select_best_neighbor)
     1585    0.002    0.000   17.225    0.011 mutation.py:36(generate)
     4174    0.136    0.000   13.432    0.003 graph_to_matrix.py:450(find_path)
     3811    1.447    0.000   12.858    0.003 graph_to_matrix.py:718(a_star)
     1325    0.002    0.000    9.993    0.008 move_building_mutation.py:30(_generate)
     1640    0.003    0.000    9.989    0.006 move_building_mutation.py:57(_generate_for_building)
     1440    0.035    0.000    9.985    0.007 move_building_mutation.py:74(_move_building)
      250    0.001    0.000    7.229    0.029 move_subgraph_mutation.py:22(_generate)
      201    0.000    0.000    7.208    0.036 graph_to_matrix.py:161(convert_via_heuristics)
      201    0.001    0.000    7.208    0.036 graph_to_matrix.py:248(_compute_grid)
      201    0.013    0.000    7.171    0.036 graph_to_matrix.py:394(_connect_graph_nodes)
   414455    0.124    0.000    6.967    0.000 graph_to_matrix.py:32(__init__)
   414455    0.289    0.000    6.843    0.000 _pset.py:67(add)
   414455    0.107    0.000    3.462    0.000 _pset.py:120(add)
   414455    0.106    0.000    3.354    0.000 _pmap.py:405(__setitem__)
440711/414455    0.424    0.000    3.248    0.000 _pmap.py:408(set)
2476480/1440    1.189    0.000    3.231    0.002 copy.py:110(deepcopy)
251328/1440    0.327    0.000    3.220    0.002 copy.py:228(_reconstruct)
168512/1440    0.316    0.000    3.210    0.002 copy.py:198(_deepcopy_dict)
   414455    0.269    0.000    2.348    0.000 _pset.py:131(persistent)
   972625    0.498    0.000    2.112    0.000 _pmap.py:156(_get_bucket)
     1535    0.003    0.000    1.975    0.001 evolution_algorithm.py:29(_evaluate_fitness)
     1523    0.007    0.000    1.970    0.001 fitness.py:12(evaluate)
   414455    0.276    0.000    1.670    0.000 _pmap.py:461(persistent)
   531914    0.124    0.000    1.277    0.000 _pset.py:38(__contains__)
   531914    0.138    0.000    1.153    0.000 _pmap.py:187(__contains__)
  2328012    0.387    0.000    1.106    0.000 {built-in method builtins.isinstance}
   440711    0.383    0.000    1.096    0.000 _pvector.py:252(persistent)
   908952    0.494    0.000    1.073    0.000 graph_to_matrix.py:908(get_moves)
   531914    0.174    0.000    1.015    0.000 _pmap.py:175(_contains)
   237214    0.303    0.000    0.956    0.000 factory.py:186(<lambda>)
   414455    0.390    0.000    0.954    0.000 _pvector.py:196(__setitem__)
       61    0.001    0.000    0.901    0.015 __init__.py:1(<module>)
     1523    0.001    0.000    0.883    0.001 pointing_to_center_aspect.py:7(evaluate)
     1523    0.030    0.000    0.882    0.001 grid.py:550(get_number_of_pointing_to_center)
    85197    0.031    0.000    0.845    0.000 grid.py:513(_is_pointing_to_center)
     1523    0.002    0.000    0.844    0.001 connection_validity_aspect.py:7(evaluate)
     5540    0.004    0.000    0.842    0.000 connection_validity_aspect.py:10(<genexpr>)
     4017    0.356    0.000    0.838    0.000 grid.py:559(exists_path)
    29944    0.010    0.000    0.832    0.000 {built-in method builtins.next}
    22156    0.047    0.000    0.797    0.000 grid.py:523(<genexpr>)
   440711    0.200    0.000    0.793    0.000 _pvector.py:161(__getitem__)
   414455    0.127    0.000    0.745    0.000 _pset.py:143(evolver)
   200259    0.199    0.000    0.741    0.000 grid.py:361(get_factories)
3657065/2589640    0.504    0.000    0.740    0.000 {built-in method builtins.len}
   855574    0.150    0.000    0.718    0.000 <frozen abc>:117(__instancecheck__)
   502656    0.073    0.000    0.655    0.000 copy.py:233(<genexpr>)
  2267489    0.360    0.000    0.643    0.000 factory.py:186(<genexpr>)
   414455    0.096    0.000    0.618    0.000 _pset.py:116(__init__)
   855574    0.240    0.000    0.568    0.000 {built-in method _abc._abc_instancecheck}
  1465864    0.356    0.000    0.538    0.000 grid_entry.py:181(is_movable)
   414455    0.140    0.000    0.521    0.000 _pmap.py:490(evolver)
   581512    0.206    0.000    0.501    0.000 graph_to_matrix.py:54(same_direction_is_needed)
   665796    0.118    0.000    0.476    0.000 grid_entry.py:199(get_id_text)
  1001593    0.311    0.000    0.460    0.000 graph_to_matrix.py:42(is_underground_belt_end)
   414455    0.095    0.000    0.381    0.000 _pmap.py:397(__init__)
    26256    0.196    0.000    0.362    0.000 _pmap.py:442(_reallocate)
   573447    0.237    0.000    0.353    0.000 grid_entry.py:80(get_id)
   531914    0.226    0.000    0.351    0.000 _pvector.py:51(__getitem__)
    84256    0.061    0.000    0.343    0.000 copy.py:172(_deepcopy_list)
855312/855230    0.179    0.000    0.328    0.000 <frozen abc>:121(__subclasscheck__)
   440713    0.212    0.000    0.304    0.000 _pvector.py:37(__new__)
   440711    0.137    0.000    0.304    0.000 _pvector.py:266(evolver)
  2308359    0.298    0.000    0.298    0.000 factory.py:163(get_cords)
   828910    0.165    0.000    0.289    0.000 _pmap.py:458(is_dirty)
   440713    0.141    0.000    0.284    0.000 _pvector.py:367(extend)
  2675647    0.281    0.000    0.281    0.000 {method 'get' of 'dict' objects}
   506/13    0.001    0.000    0.272    0.021 <frozen importlib._bootstrap>:1360(_find_and_load)
    495/3    0.002    0.000    0.272    0.091 <frozen importlib._bootstrap>:1308(_find_and_load_unlocked)
   1367/9    0.000    0.000    0.272    0.030 <frozen importlib._bootstrap>:483(_call_with_frames_removed)
    475/5    0.001    0.000    0.272    0.054 <frozen importlib._bootstrap>:914(_load_unlocked)
   439021    0.271    0.000    0.272    0.000 graph_to_matrix.py:857(get_manhattan_metric)
   391212    0.163    0.000    0.267    0.000 {built-in method _heapq.heappush}
     1440    0.003    0.000    0.252    0.000 grid.py:472(erase_factory)
    429/4    0.001    0.000    0.249    0.062 <frozen importlib._bootstrap_external>:753(exec_module)
   221056    0.184    0.000    0.246    0.000 copy.py:181(_deepcopy_tuple)
   414455    0.091    0.000    0.243    0.000 _pset.py:128(is_dirty)
   504096    0.157    0.000    0.239    0.000 copy.py:212(_keep_alive)
  3048772    0.237    0.000    0.237    0.000 {built-in method builtins.id}
   907678    0.160    0.000    0.228    0.000 _pvector.py:260(__len__)
   377/54    0.000    0.000    0.206    0.004 <frozen importlib._bootstrap>:1409(_handle_fromlist)
  2817170    0.196    0.000    0.196    0.000 {built-in method builtins.abs}
   251328    0.113    0.000    0.196    0.000 {method '__reduce_ex__' of 'object' objects}
1443851/1441000    0.174    0.000    0.195    0.000 {built-in method __new__ of type object at 0x7f4a1414d1c0}
   406/31    0.000    0.000    0.189    0.006 {built-in method builtins.__import__}
  1269621    0.184    0.000    0.184    0.000 _pvector.py:263(is_dirty)
   149189    0.108    0.000    0.183    0.000 {built-in method _heapq.heappop}
     1440    0.061    0.000    0.183    0.000 grid.py:436(_get_neighbors)
  1955941    0.181    0.000    0.181    0.000 graph_to_matrix.py:117(__lt__)
   414456    0.126    0.000    0.173    0.000 _pmap.py:150(__new__)
   440711    0.100    0.000    0.166    0.000 _pvector.py:158(__init__)
   414456    0.121    0.000    0.165    0.000 _pset.py:33(__new__)
   259595    0.047    0.000    0.163    0.000 grid.py:491(is_belt_with_id)
   855166    0.157    0.000    0.157    0.000 _pvector.py:173(_reset)
     1330    0.016    0.000    0.156    0.000 grid.py:233(state_key_memory)
     1280    0.001    0.000    0.150    0.000 move_building_mutation.py:51(get_cache_key)
855312/855230    0.149    0.000    0.149    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.149    0.149 application.py:1(<module>)
        1    0.000    0.000    0.148    0.148 cli.py:1(<module>)
    79419    0.017    0.000    0.139    0.000 grid.py:236(<genexpr>)
  1159493    0.137    0.000    0.137    0.000 grid.py:196(__contains__)
   946369    0.134    0.000    0.134    0.000 _pvector.py:303(_node_for)
  1421428    0.133    0.000    0.133    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.127    0.127 factory_loader.py:1(<module>)
     1523    0.001    0.000    0.126    0.000 area_aspect.py:7(evaluate)
     1523    0.001    0.000    0.126    0.000 grid.py:311(get_area)
        1    0.000    0.000    0.125    0.125 dependency_graph.py:1(<module>)
    78089    0.026    0.000    0.122    0.000 grid_entry.py:246(state_key_memory)
        1    0.000    0.000    0.101    0.101 main_window.py:61(__init__)
        1    0.001    0.001    0.100    0.100 main_window.py:100(_setup_ui)
  1469876    0.095    0.000    0.095    0.000 grid_entry.py:153(is_factory)
    78089    0.028    0.000    0.087    0.000 grid_entry.py:232(state_key)
  1019493    0.087    0.000    0.087    0.000 graph_to_matrix.py:48(is_after_start)
    35561    0.050    0.000    0.087    0.000 grid.py:87(add_transportation)
        1    0.000    0.000    0.086    0.086 main_window.py:301(_setup_result_layout)
        1    0.085    0.085    0.086    0.086 factory_result_widget.py:22(__init__)
  1333958    0.085    0.000    0.085    0.000 grid_entry.py:162(is_source)
    11354    0.045    0.000    0.085    0.000 {built-in method builtins.min}
266255/259154    0.030    0.000    0.084    0.000 {built-in method builtins.hasattr}
    84260    0.061    0.000    0.083    0.000 copyreg.py:112(_slotnames)
   823275    0.080    0.000    0.080    0.000 {method 'append' of 'list' objects}
   616918    0.078    0.000    0.078    0.000 graph_to_matrix.py:136(__contains__)
     3892    0.029    0.000    0.074    0.000 graph_to_matrix.py:64(has_transformable_path_endpoints)
642595/642585    0.073    0.000    0.073    0.000 {built-in method builtins.getattr}
   461616    0.071    0.000    0.071    0.000 graph_to_matrix.py:130(__setitem__)
     1523    0.001    0.000    0.067    0.000 distance_from_center_aspect.py:7(evaluate)
