         96906572 function calls (92862053 primitive calls) in 44.642 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    461/1    0.004    0.000   46.036   46.036 {built-in method builtins.exec}
        1    0.000    0.000   46.036   46.036 main.py:1(<module>)
        1    0.013    0.013   45.890   45.890 application.py:19(main)
        1    0.007    0.007   45.877   45.877 application.py:6(run_gui)
        1   20.562   20.562   45.643   45.643 {built-in method exec}
        1    0.000    0.000   25.016   25.016 compute_recipe_worker.py:62(run)
        1    0.000    0.000   25.016   25.016 factory_processor.py:21(process_factory)
        1    0.000    0.000   24.963   24.963 evolution.py:17(evolve)
        1    0.001    0.001   24.963   24.963 hill_climbing.py:12(evolve)
       50    0.016    0.000   24.921    0.498 hill_climbing.py:67(_select_best_neighbor)
     1585    0.002    0.000   22.924    0.014 mutation.py:36(generate)
     4174    0.141    0.000   19.071    0.005 graph_to_matrix.py:448(find_path)
     3811    1.505    0.000   18.198    0.005 graph_to_matrix.py:716(a_star)
     1325    0.002    0.000   12.557    0.009 move_building_mutation.py:30(_generate)
     1640    0.003    0.000   12.553    0.008 move_building_mutation.py:57(_generate_for_building)
     1440    0.036    0.000   12.549    0.009 move_building_mutation.py:74(_move_building)
      250    0.001    0.000   10.364    0.041 move_subgraph_mutation.py:22(_generate)
      201    0.000    0.000   10.355    0.052 graph_to_matrix.py:159(convert_via_heuristics)
      201    0.001    0.000   10.354    0.052 graph_to_matrix.py:246(_compute_grid)
      201    0.014    0.000   10.318    0.051 graph_to_matrix.py:392(_connect_graph_nodes)
   416046    0.130    0.000    7.134    0.000 graph_to_matrix.py:30(__init__)
   416046    0.303    0.000    7.004    0.000 _pset.py:67(add)
   440612    0.155    0.000    5.562    0.000 graph_to_matrix.py:855(get_manhattan_metric)
451970/427404    0.598    0.000    5.488    0.000 {built-in method builtins.min}
   416046    0.108    0.000    3.550    0.000 _pset.py:120(add)
  3968241    1.500    0.000    3.496    0.000 {built-in method builtins.sum}
   416046    0.109    0.000    3.442    0.000 _pmap.py:405(__setitem__)
442177/416046    0.436    0.000    3.333    0.000 _pmap.py:408(set)
2476480/1440    1.210    0.000    3.298    0.002 copy.py:110(deepcopy)
251328/1440    0.337    0.000    3.288    0.002 copy.py:228(_reconstruct)
168512/1440    0.323    0.000    3.277    0.002 copy.py:198(_deepcopy_dict)
   416046    0.272    0.000    2.415    0.000 _pset.py:131(persistent)
   977286    0.514    0.000    2.143    0.000 _pmap.py:156(_get_bucket)
     1535    0.003    0.000    2.011    0.001 evolution_algorithm.py:29(_evaluate_fitness)
     1525    0.007    0.000    2.007    0.001 fitness.py:12(evaluate)
 11896524    1.488    0.000    1.970    0.000 graph_to_matrix.py:867(<genexpr>)
   416046    0.275    0.000    1.717    0.000 _pmap.py:461(persistent)
   535109    0.125    0.000    1.300    0.000 _pset.py:38(__contains__)
   535109    0.140    0.000    1.175    0.000 _pmap.py:187(__contains__)
   442177    0.388    0.000    1.133    0.000 _pvector.py:252(persistent)
  2335695    0.403    0.000    1.114    0.000 {built-in method builtins.isinstance}
   914960    0.509    0.000    1.096    0.000 graph_to_matrix.py:869(get_moves)
   535109    0.176    0.000    1.034    0.000 _pmap.py:175(_contains)
   237214    0.318    0.000    1.000    0.000 factory.py:186(<lambda>)
   416046    0.404    0.000    0.984    0.000 _pvector.py:196(__setitem__)
     1525    0.001    0.000    0.895    0.001 pointing_to_center_aspect.py:7(evaluate)
     1525    0.031    0.000    0.895    0.001 grid.py:550(get_number_of_pointing_to_center)
       60    0.001    0.000    0.871    0.015 __init__.py:1(<module>)
     1525    0.002    0.000    0.864    0.001 connection_validity_aspect.py:7(evaluate)
     5558    0.004    0.000    0.862    0.000 connection_validity_aspect.py:10(<genexpr>)
     4033    0.367    0.000    0.857    0.000 grid.py:559(exists_path)
    85239    0.031    0.000    0.856    0.000 grid.py:513(_is_pointing_to_center)
    29976    0.010    0.000    0.844    0.000 {built-in method builtins.next}
    22188    0.048    0.000    0.808    0.000 grid.py:523(<genexpr>)
   442177    0.202    0.000    0.791    0.000 _pvector.py:161(__getitem__)
3670920/2599235    0.528    0.000    0.770    0.000 {built-in method builtins.len}
   200547    0.204    0.000    0.751    0.000 grid.py:361(get_factories)
   416046    0.129    0.000    0.736    0.000 _pset.py:143(evolver)
   858631    0.152    0.000    0.711    0.000 <frozen abc>:117(__instancecheck__)
 10766416    0.677    0.000    0.677    0.000 {built-in method builtins.abs}
  2267489    0.377    0.000    0.673    0.000 factory.py:186(<genexpr>)
   502656    0.075    0.000    0.666    0.000 copy.py:233(<genexpr>)
   416046    0.098    0.000    0.607    0.000 _pset.py:116(__init__)
   858631    0.246    0.000    0.559    0.000 {built-in method _abc._abc_instancecheck}
  1466792    0.360    0.000    0.543    0.000 grid_entry.py:181(is_movable)
   416046    0.139    0.000    0.509    0.000 _pmap.py:490(evolver)
   587308    0.210    0.000    0.507    0.000 graph_to_matrix.py:52(same_direction_is_needed)
   667919    0.118    0.000    0.481    0.000 grid_entry.py:199(get_id_text)
  1010879    0.312    0.000    0.460    0.000 graph_to_matrix.py:40(is_underground_belt_end)
    26131    0.213    0.000    0.382    0.000 _pmap.py:442(_reallocate)
   416046    0.095    0.000    0.370    0.000 _pmap.py:397(__init__)
   575524    0.241    0.000    0.357    0.000 grid_entry.py:80(get_id)
    84256    0.062    0.000    0.350    0.000 copy.py:172(_deepcopy_list)
   535109    0.221    0.000    0.348    0.000 _pvector.py:51(__getitem__)
   442179    0.224    0.000    0.324    0.000 _pvector.py:37(__new__)
     4174    0.002    0.000    0.323    0.000 graph_to_matrix.py:594(are_neighbors_with_one_normal_space)
     4174    0.002    0.000    0.317    0.000 graph_to_matrix.py:842(get_manhattan_metric_two_sets)
858369/858287    0.160    0.000    0.313    0.000 <frozen abc>:121(__subclasscheck__)
    28740    0.008    0.000    0.310    0.000 graph_to_matrix.py:853(<genexpr>)
  2308359    0.310    0.000    0.310    0.000 factory.py:163(get_cords)
   442179    0.147    0.000    0.295    0.000 _pvector.py:367(extend)
   442177    0.123    0.000    0.293    0.000 _pvector.py:266(evolver)
   832092    0.169    0.000    0.293    0.000 _pmap.py:458(is_dirty)
  2677388    0.288    0.000    0.288    0.000 {method 'get' of 'dict' objects}
   392803    0.170    0.000    0.277    0.000 {built-in method _heapq.heappush}
   502/13    0.001    0.000    0.272    0.021 <frozen importlib._bootstrap>:1360(_find_and_load)
    491/3    0.002    0.000    0.272    0.091 <frozen importlib._bootstrap>:1308(_find_and_load_unlocked)
   1359/9    0.000    0.000    0.272    0.030 <frozen importlib._bootstrap>:483(_call_with_frames_removed)
    472/5    0.001    0.000    0.272    0.054 <frozen importlib._bootstrap>:914(_load_unlocked)
   221056    0.188    0.000    0.251    0.000 copy.py:181(_deepcopy_tuple)
     1440    0.003    0.000    0.251    0.000 grid.py:472(erase_factory)
   416046    0.092    0.000    0.247    0.000 _pset.py:128(is_dirty)
   504096    0.161    0.000    0.244    0.000 copy.py:212(_keep_alive)
  3050484    0.243    0.000    0.243    0.000 {built-in method builtins.id}
    426/4    0.001    0.000    0.239    0.060 <frozen importlib._bootstrap_external>:753(exec_module)
   910485    0.164    0.000    0.236    0.000 _pvector.py:260(__len__)
1448468/1445617    0.185    0.000    0.206    0.000 {built-in method __new__ of type object at 0x7f214714d1c0}
   375/52    0.000    0.000    0.202    0.004 <frozen importlib._bootstrap>:1409(_handle_fromlist)
   251328    0.114    0.000    0.200    0.000 {method '__reduce_ex__' of 'object' objects}
   150638    0.112    0.000    0.189    0.000 {built-in method _heapq.heappop}
  1971537    0.187    0.000    0.187    0.000 graph_to_matrix.py:115(__lt__)
  1274269    0.184    0.000    0.185    0.000 _pvector.py:263(is_dirty)
